Sector,ID,Departamento,Distrito ,Nombre Institucion,1º Grado,2º Grado,3º Grado,4º Grado,5º Grado,6º Grado,latitud aproximada,longitud aproximada
Oficial,3,Cordillera,Piribebuy,ESCUELA BÁSICA N° 2961 VIRGEN DEL ROSARIO,52,69,44,48,43,62,"25º28'16.666""S","57º2'28.589""W"
Oficial,11,Central,Fernando de la Mora,ESCUELA BÁSICA N° 959 PROFESORA MERCEDES IBARRA,55,49,48,57,51,57,"25º21'17.918""S","57º34'12.366""W"
Oficial,10,Alto Paraná,Ciudad del Este,ESCUELA BÁSICA N° 2974 ARANDU RAITY,42,57,61,58,45,54,"25º29'37.095""S","54º39'32.886""W"
Oficial,11,Central,Luque,ESCUELA BÁSICA N° 3778 LOMA MERLO,49,50,51,53,53,61,"25º14'51.778""S","57º30'8.128""W"
Oficial,3,Cordillera,Altos,ESCUELA BÁSICA N° 42 DOMINGO MARTÍNEZ DE IRALA,51,48,54,46,62,54,"25º15'46.84""S","57º14'49.828""W"
Oficial,1,Concepción,Concepción,ESCUELA BÁSICA N° 234 GENERAL JOSÉ EDUVIGIS DÍAZ,50,53,65,48,45,54,"23º24'0.993""S","57º26'14.166""W"
Oficial,11,Central,Capiatá,ESCUELA BÁSICA N° 605 CAPITÁN BALDOMERO RIQUELME,51,51,55,44,62,52,"25º22'0.918""S","57º28'26.596""W"
Oficial,10,Alto Paraná,Ciudad del Este,ESCUELA BÁSICA N° 2970 VIRGEN DE FÁTIMA,46,45,51,58,63,52,"25º30'10.383""S","54º41'34.761""W"
Oficial,11,Central,Itauguá,ESCUELA BÁSICA N° 3723 SAN CAYETANO,56,55,46,51,54,53,"25º23'40.28""S","57º23'47.858""W"
Oficial,11,Central,Luque,ESCUELA BÁSICA N° 860 MAESTRO ANTONIO MARCOS SILVA,47,45,52,54,62,54,"25º16'36.215""S","57º27'12.678""W"
Oficial,7,Itapúa,San Juan del  Paraná,ESCUELA BÁSICA N° 815 PEDRO JUAN CABALLERO,61,49,47,56,46,54,"27º18'10.584""S","55º57'52.631""W"
Oficial,7,Itapúa,Coronel Bogado,ESCUELA BÁSICA N° 4761 DE APLICACIÓN SANTA CLARA,56,50,55,51,50,51,"27º9'38.861""S","56º14'53.587""W"
Oficial,11,Central,San Lorenzo,ESCUELA BÁSICA N° 2391 CHOFERES DEL CHACO,49,57,49,51,57,50,"25º19'13.852""S","57º29'16.271""W"
Oficial,1,Concepción,Yby Yaú,ESCUELA BÁSICA N° 4133 SANTA CLARA,52,43,59,59,53,47,"22º58'1.219""S","56º32'47.786""W"
Oficial,11,Central,Limpio,ESCUELA BÁSICA N° 6561 SAN ISIDRO LABRADOR,45,50,51,51,60,54,"25º10'21.936""S","57º27'40.37""W"
Oficial,11,Central,Luque,ESCUELA BÁSICA N° 3784 SAN ROQUE GONZÁLEZ DE SANTA CRUZ,41,54,54,59,47,55,"25º17'29.301""S","57º29'5.947""W"
Oficial,1,Concepción,San Lázaro,ESCUELA BÁSICA N° 6687 SAN ANTONIO DE PADUA,43,45,37,52,63,69,"22º9'9.629""S","57º57'3.92""W"
Oficial,13,Amambay,Pedro Juan Caballero,ESCUELA BÁSICA N° 1300 MARÍA AUXILIADORA,49,55,41,62,42,59,"22º32'10.404""S","55º44'42.38""W"
Oficial,10,Alto Paraná,Ciudad del Este,ESCUELA BASICA N° 5436 SAN VICENTE DE PAUL,60,53,32,56,38,68,"25º31'0.218""S","54º39'31.273""W"
Oficial,11,Central,Fernando de la Mora,ESCUELA BÁSICA N° 576 GREGORIA MOLINAS DE SALDÍVAR,41,50,58,49,52,56,"25º20'24.399""S","57º33'32.156""W"
Oficial,11,Central,Lambaré,ESCUELA BÁSICA N° 805 DOCTOR FACUNDO INSFRÁN,46,42,59,61,47,51,"25º20'53.006""S","57º35'52.993""W"
Oficial,11,Central,Capiatá,ESCUELA BÁSICA N° 3924 VIRGEN DE LA CANDELARIA,43,62,50,45,51,55,"25º22'47.389""S","57º27'41.079""W"
Oficial,11,Central,Ñemby,ESCUELA BÁSICA N° 6120 VIRGEN DE LA MERCED,49,53,52,61,44,47,"25º24'25.881""S","57º30'32.189""W"
Oficial,14,Canindeyú,Curuguaty,ESCUELA BÁSICA N° 3017 34 CURUGUATEÑOS,51,46,52,56,51,49,"24º27'52.221""S","55º41'35.136""W"
Oficial,11,Central,San Lorenzo,ESCUELA BÁSICA N° 2392 CENTRO DE EDUCACIÓN VILLA LAURELTY,52,54,51,51,54,42,"25º19'39.798""S","57º29'44.49""W"
Oficial,5,Caaguazú,Dr. Juan Manuel Frutos,ESCUELA BÁSICA N° 296 DOCTOR JUAN MANUEL FRUTOS,35,69,46,52,50,51,"25º23'8.661""S","55º49'41.641""W"
Oficial,11,Central,Lambaré,ESCUELA BÁSICA N° 8230 AVA MBA'E,62,49,51,46,47,48,"25º21'49.718""S","57º36'28.802""W"
Oficial,10,Alto Paraná,Ciudad del Este,ESCUELA BÁSICA N° 2983 NIÑOS MÁRTIRES DE ACOSTA ÑÚ,57,55,43,42,59,45,"25º30'45.436""S","54º40'1.96""W"
Oficial,11,Central,Limpio,ESCUELA BÁSICA N° 3015 CENTRO EDUCATIVO PADRE MARIO CLEVA,55,51,55,55,37,48,"25º11'1.57""S","57º27'39.305""W"
Oficial,11,Central,Villa Elisa,ESCUELA BÁSICA N° 196 REINO DE SUECIA,44,50,53,48,54,51,"25º22'32.674""S","57º35'5.82""W"
Oficial,11,Central,Fernando de la Mora,ESCUELA BÁSICA N° 144 COMANDANTE HEBER LEO NOWAK,41,60,50,49,45,54,"25º19'30.863""S","57º32'29.171""W"
Oficial,0,Capital,Asunción,ESCUELA BÁSICA N° 193 PDTE. FEDERICO CHÁVES,39,49,53,49,56,53,"25º18'8.554""S","57º39'16.745""W"
Oficial,15,Presidente Hayes,Benjamín Aceval,ESCUELA BÁSICA N° 674 HÉROES DEL CHACO,47,60,44,48,53,47,"24º57'37.789""S","57º32'50.491""W"
Oficial,10,Alto Paraná,Ciudad del Este,ESCUELA BÁSICA N° 2981 SAN ANTONIO DE PADUA,49,58,48,39,43,62,"25º32'21.43""S","54º36'19.272""W"
Oficial,0,Capital,Asunción,ESCUELA BÁSICA N° 210 REPÚBLICA DE HUNGRÍA,43,50,57,49,52,48,"25º20'12.931""S","57º38'18.211""W"
Oficial,11,Central,Julián Augusto Saldívar,ESCUELA BÁSICA N° 3452 SAN BLAS,48,61,55,42,39,53,"25º26'20.764""S","57º26'10.88""W"
Oficial,11,Central,Capiatá,ESCUELA BÁSICA N° 6557 SAN SEBASTIÁN,53,58,46,51,51,39,"25º25'18.9""S","57º28'27.083""W"
Oficial,10,Alto Paraná,Ciudad del Este,ESCUELA BÁSICA N° 6707 SAN JOSÉ,46,50,51,53,48,50,"25º28'37.678""S","54º38'44.889""W"
Oficial,0,Capital,Asunción,ESCUELA BÁSICA N° 221 CHACO PARAGUAYO,36,46,56,66,54,39,"25º19'14.748""S","57º36'28.564""W"
Oficial,2,San Pedro,Choré,ESCUELA BÁSICA N° 658 AGUSTÍN BARBOZA,50,51,50,42,50,54,"24º11'19.686""S","56º34'46.028""W"
Oficial,11,Central,Itauguá,ESCUELA BÁSICA N° 4819 DEFENSORES DEL CHACO,44,54,51,54,52,42,"25º24'19.058""S","57º20'36.348""W"
Oficial,2,San Pedro,San Pedro del Ycuamandyjú,ESCUELA BÁSICA N° 7721 CENTRO EDUCATIVO SAN PEDRO APÓSTOL,44,51,42,64,44,52,"24º5'10.357""S","57º5'12.989""W"
Oficial,5,Caaguazú,Caaguazú,ESCUELA BÁSICA N° 4599 DON JOSÉ DOMINGO FERNÁNDEZ,53,63,55,68,20,38,"25º28'43.023""S","56º2'53.207""W"
Oficial,9,Paraguarí,Paraguarí,ESCUELA BÁSICA N° 1112 RVDO. PADRE GREGORIO BALZARINI ROS,44,47,53,48,56,48,"25º37'15.718""S","57º8'52.488""W"
Oficial,11,Central,Villa Elisa,ESCUELA BÁSICA N° 4743 MUNICIPAL VIRGEN DEL CARMEN,51,49,54,41,51,50,"25º23'23.739""S","57º34'26.269""W"
Oficial,14,Canindeyú,Katueté,ESCUELA BÁSICA N° 5701 KATUETE,40,62,55,46,42,51,"24º14'47.65""S","54º45'16.197""W"
Oficial,11,Central,Mariano Roque Alonso,ESCUELA BÁSICA N° 7078 LA AMISTAD,46,53,49,47,58,43,"25º13'56.301""S","57º31'27.318""W"
Oficial,2,San Pedro,General Isidoro Resquín,ESCUELA BÁSICA N° 997 VIRGEN DE FÁTIMA,55,37,39,61,46,57,"24º3'39.774""S","56º26'58.769""W"
Oficial,11,Central,Luque,ESCUELA BÁSICA N° 4550 SAN JUAN BAUTISTA,48,49,44,52,48,54,"25º18'37.793""S","57º28'27.915""W"
Oficial,13,Amambay,Pedro Juan Caballero,ESCUELA BÁSICA N° 3695 NIÑO JESÚS,49,56,48,51,45,44,"22º33'6.582""S","55º44'40.926""W"
Oficial,1,Concepción,Belén,ESCUELA BÁSICA N° 187 PADRE JESUITA DR. FRANCISCO SANCHEZ LABRADOR Y HERNANDEZ,59,58,47,36,46,46,"23º27'50.974""S","57º16'3.767""W"
Oficial,11,Central,Lambaré,ESCUELA BÁSICA N° 612 CERRO CORÁ,44,54,50,51,43,50,"25º20'41.549""S","57º36'59.549""W"
Oficial,11,Central,Luque,ESCUELA BÁSICA N° 3789 SAN FRANCISCO,28,58,47,52,30,76,"25º13'9.334""S","57º27'39.821""W"
Oficial,11,Central,Julián Augusto Saldívar,ESCUELA BÁSICA N° 4658 SAN ROQUE,47,53,44,55,46,46,"25º25'33.27""S","57º26'53.346""W"
Oficial,11,Central,Limpio,ESCUELA BÁSICA N° 4719 SAN SALVADOR,43,45,49,49,52,53,"25º9'10.439""S","57º28'3.104""W"
Oficial,11,Central,Luque,ESCUELA BÁSICA N° 2376 GENERAL DE DIVISIÓN ADRIÁN JARA,51,41,42,49,51,56,"25º16'38.728""S","57º30'29.449""W"
Oficial,5,Caaguazú,Dr. Juan Eulogio Estigarribia,ESCUELA BÁSICA N° 3946 LA FORTUNA,47,58,51,45,47,41,"25º22'32.548""S","55º43'0.397""W"
Oficial,11,Central,Luque,ESCUELA BÁSICA N° 6746 PORVENIR,40,48,46,50,58,47,"25º18'56.308""S","57º29'22.424""W"
Oficial,0,Capital,Asunción,ESCUELA BÁSICA N° 263 CAPITÁN MAURICIO JOSÉ TROCHE,42,39,47,61,52,47,"25º13'58.29""S","57º33'46.935""W"
Oficial,0,Capital,Asunción,ESCUELA BÁSICA N° 167 CARLOS ANTONIO LÓPEZ,37,51,48,53,47,50,"25º14'25.308""S","57º32'36.93""W"
Oficial,9,Paraguarí,Paraguarí,ESCUELA BÁSICA N° 77 PROFESORA ENCARNACIÓN ALÚM DE VIVÉ,54,42,45,49,45,50,"25º37'15.598""S","57º8'42.412""W"
Oficial,7,Itapúa,Bella Vista,ESCUELA BÁSICA N° 338 PRESIDENTE CARLOS ANTONIO LÓPEZ,35,48,47,53,50,52,"27º3'7.841""S","55º34'24.037""W"
Oficial,7,Itapúa,Encarnación,ESCUELA BÁSICA N° 3770 SAN MIGUEL,41,49,52,51,40,52,"27º17'46.117""S","55º51'51.336""W"
Oficial,11,Central,Lambaré,ESCUELA BÁSICA N° 806 INSPECTOR MAYOR EUSEBIO FLORENTIN,45,47,43,51,49,49,"25º21'23.204""S","57º37'20.083""W"
Oficial,7,Itapúa,Cambyretá,ESCUELA BÁSICA N° 4007 SAGRADO CORAZÓN DE JESÚS,48,47,47,47,34,60,"27º20'26.199""S","55º49'46.823""W"
Oficial,11,Central,Capiatá,ESCUELA BÁSICA N° 5602 LA VICTORIA,41,40,61,57,41,43,"25º24'6.414""S","57º30'11.455""W"
Oficial,10,Alto Paraná,Ciudad del Este,ESCUELA BÁSICA N° 7351 13 DE MAYO,50,55,32,32,58,56,"25º30'6.918""S","54º37'21.34""W"
Oficial,4,Guairá,Mauricio José Troche,ESCUELA BÁSICA N° 137 SAN PASCUAL,39,48,59,37,44,55,"25º36'52.391""S","56º16'38.163""W"
Oficial,11,Central,Lambaré,ESCUELA BÁSICA N° 551 LICENCIADA EVE LUISA TALAVERA RICHER,45,43,39,45,57,53,"25º20'3.673""S","57º37'0.144""W"
Oficial,10,Alto Paraná,Ciudad del Este,ESCUELA BÁSICA N° 2973 SAN ISIDRO LABRADOR,35,53,45,49,59,41,"25º31'0.222""S","54º39'31.56""W"
Oficial,11,Central,San Lorenzo,ESCUELA BÁSICA N° 4189 SAN MIGUEL ARCÁNGEL,48,50,51,48,41,44,"25º18'21.351""S","57º31'0.419""W"
Oficial,11,Central,Ñemby,ESCUELA BÁSICA N° 5592 PARAGUAY - JAPÓN,56,37,42,56,47,44,25° 23’ 6.40” S,57° 32’ 16.05” W
Oficial,3,Cordillera,Caacupé,ESCUELA BÁSICA N° 7423 MUNICIPAL SANTA TERESITA,53,51,53,64,28,33,"25º23'35.627""S","57º8'55.672""W"
Oficial,10,Alto Paraná,Yguazú,ESCUELA BÁSICA N° 481 MARISCAL FRANCISCO SOLANO LÓPEZ,41,39,41,52,55,53,"25º27'37.139""S","54º59'54.413""W"
Oficial,11,Central,Villa Elisa,ESCUELA BÁSICA N° 1702 AMÉRICA,39,51,43,50,47,51,"25º21'36.762""S","57º35'13.028""W"
Oficial,5,Caaguazú,Caaguazú,ESCUELA BÁSICA N° 4368 DIEGO FABIÁN,34,57,46,55,54,35,"25º28'31.701""S","56º2'6.992""W"
Oficial,1,Concepción,Loreto,ESCUELA BÁSICA N° 1312 VITALINA TORRES DE GARCETE,46,53,51,41,46,43,"23º16'41.362""S","57º19'40.068""W"
Oficial,0,Capital,Asunción,ESCUELA BÁSICA N° 3 REPÚBLICA DEL BRASIL,51,59,42,44,36,48,"25º16'59.144""S","57º38'17.982""W"
Oficial,9,Paraguarí,Quiindy,ESCUELA BÁSICA N° 280 PROFESOR CRISTÓBAL PÉREZ,45,52,51,43,43,45,"25º58'7.583""S","57º13'50.41""W"
Oficial,11,Central,Luque,ESCUELA BÁSICA N° 2371 CENTRO DE EDUCACIÓN INTEGRAL DE LUQUE,42,50,41,39,50,57,"25º17'28.263""S","57º31'46.216""W"
Oficial,11,Central,Limpio,ESCUELA BÁSICA N° 6439 VIRGEN DE CAACUPÉ,55,33,34,54,55,48,"25º9'0.395""S","57º29'13.145""W"
Oficial,2,San Pedro,San Pedro del Ycuamandyjú,ESCUELA BÁSICA N° 31 DON BRAULIO ZELADA,45,36,60,36,42,58,"24º5'15.328""S","57º4'17.244""W"
Oficial,11,Central,Limpio,ESCUELA BÁSICA N° 863 JUAN DE SALAZAR,48,47,46,48,46,42,"25º12'31.605""S","57º28'46.397""W"
Oficial,11,Central,Luque,ESCUELA BÁSICA N° 3785 AMISTAD,44,44,45,55,42,47,"25º16'48.133""S","57º28'49.478""W"
Oficial,0,Capital,Asunción,ESCUELA BÁSICA N° 322 PROFESORA SILVIA MIRANDA DE CUETO,40,47,50,43,47,50,"25º15'14.273""S","57º35'16.727""W"
Oficial,7,Itapúa,Natalio,ESCUELA BÁSICA N° 939 REVERENDO PADRE RICARDO MUSCH,38,54,44,45,52,43,"26º45'25.378""S","55º8'13.019""W"
Oficial,4,Guairá,Villarrica,ESCUELA BÁSICA N° 5263 SAN MIGUEL,46,46,53,50,35,46,"25º46'38.79""S","56º25'47.243""W"
Oficial,11,Central,Ypané,ESCUELA BÁSICA N° 7460 SEBASTIÁN SAMANIEGO,47,46,49,43,45,46,"25º26'37.273""S","57º29'57.509""W"
Oficial,0,Capital,Asunción,ESCUELA BÁSICA N° 260 NUESTRA SEÑORA DE LA ASUNCIÓN,35,48,47,43,47,55,"25º16'50.319""S","57º35'37.964""W"
Oficial,11,Central,San Antonio,ESCUELA BÁSICA N° 3445 ISAAC CABRERA,42,45,50,44,49,44,"25º25'10.806""S","57º32'40.173""W"
Oficial,11,Central,Luque,ESCUELA BÁSICA N° 861 PERPÉTUO SOCORRO,49,45,37,50,44,48,"25º13'9.031""S","57º26'50.18""W"
Oficial,11,Central,Ypané,ESCUELA BÁSICA N° 7695 FORTALEZA 123,44,52,43,47,44,43,,
Oficial,9,Paraguarí,La Colmena,ESCUELA BÁSICA N° 128 PARAGUAY - JAPÓN,47,38,46,44,49,48,"25º53'4.757""S","56º50'22.6""W"
Oficial,7,Itapúa,Hohenau,ESCUELA BÁSICA N° 1437 PARAGUAYO GERMANA,36,38,41,56,43,58,"27º3'40.068""S","55º38'51.772""W"
Oficial,11,Central,Luque,ESCUELA BÁSICA N° 3727 MARÍA AUXILIADORA,42,50,53,38,44,45,"25º17'42.315""S","57º30'30.036""W"
Oficial,11,Central,San Lorenzo,ESCUELA BÁSICA N° 7838 26 DE FEBRERO - LA VICTORIA,33,45,43,50,43,58,"25º21'14.702""S","57º31'34.321""W"
Oficial,11,Central,Capiatá,ESCUELA BÁSICA N° 6031 MUNICIPAL N° 1 SANTA TERESITA DEL NIÑO JESÚS,39,48,48,50,43,43,"25º21'42.009""S","57º27'0.077""W"
Oficial,7,Itapúa,San Pedro del Paraná,ESCUELA BÁSICA N° 66 ENRIQUE SOLANO LÓPEZ,41,42,54,30,60,44,"26º50'0.204""S","56º12'25.155""W"
Oficial,7,Itapúa,Coronel Bogado,ESCUELA BÁSICA N° 113 TIBURCIO BOGADO,43,46,43,49,51,39,"27º10'6.05""S","56º14'26.806""W"
Oficial,5,Caaguazú,Caaguazú,ESCUELA BÁSICA N° 3518 KUARAHY RESE,54,41,33,46,49,48,"25º27'9.245""S","56º1'0.48""W"
Oficial,10,Alto Paraná,Ciudad del Este,ESCUELA BÁSICA N° 6115 AMIGOS DEL LAGO YRENDY,45,53,42,43,42,46,"25º29'57.006""S","54º43'6.745""W"
Oficial,11,Central,Luque,ESCUELA BÁSICA N° 858 PROFESOR DOCTOR JUAN JAVALOYES Y GONZÁLEZ,47,36,54,40,47,47,"25º14'6.515""S","57º30'29.637""W"
Oficial,0,Capital,Asunción,ESCUELA BÁSICA N° 18 REPÚBLICA DE CUBA,60,58,73,60,0,19,"25º16'33.849""S","57º36'38.738""W"
Oficial,11,Central,San Antonio,ESCUELA BÁSICA N° 345 CÁNDIDA ACHUCARRO,52,37,47,47,52,35,"25º26'21.304""S","57º32'35.083""W"
Oficial,2,San Pedro,Guayaibi,ESCUELA BÁSICA N° 657 GENERAL BERNARDINO CABALLERO,51,49,50,49,38,33,"24º31'48.713""S","56º24'24.478""W"
Oficial,10,Alto Paraná,Ciudad del Este,ESCUELA BÁSICA N° 5429 JULIO CÉSAR RIQUELME,52,44,44,48,41,41,"25º32'12.644""S","54º39'39.465""W"
Oficial,10,Alto Paraná,Minga Guazú,ESCUELA BÁSICA N° 6006 DIVINO NIÑO,38,44,45,58,42,42,"25º29'52.159""S","54º46'52.865""W"
Oficial,1,Concepción,Yby Yaú,ESCUELA BÁSICA N° 540 EPOPEYA NACIONAL,39,48,39,49,41,51,"22º56'54.465""S","56º31'33.181""W"
Oficial,5,Caaguazú,Caaguazú,ESCUELA BÁSICA N° 561 MARISCAL LÓPEZ,52,36,42,39,48,50,"25º28'8.092""S","56º0'47.433""W"
Oficial,11,Central,Fernando de la Mora,ESCUELA BÁSICA N° 703 PROF. MARÍA LUISA GÓMEZ DE FRANCO,45,45,49,39,43,46,"25º18'41.028""S","57º32'28.627""W"
Oficial,11,Central,Julián Augusto Saldívar,ESCUELA BÁSICA N° 2400 MONSEÑOR JUAN SINFORIANO BOGARÍN,47,47,37,43,42,50,"25º25'37.334""S","57º26'31.917""W"
Oficial,11,Central,Capiatá,ESCUELA BÁSICA N° 3344 CONSTITUCIÓN,36,44,44,42,55,45,"25º21'19.667""S","57º28'5.147""W"
Oficial,11,Central,Mariano Roque Alonso,ESCUELA BÁSICA N° 2378 FÉLIX RUÍZ,46,43,44,42,40,50,"25º12'14.762""S","57º30'15.237""W"
Oficial,11,Central,Capiatá,ESCUELA BÁSICA N° 8109 MUNICIPAL N° 5 SAN JOSÉ,39,50,42,52,42,40,"25º26'7.480""S","57º28'37.106""W"
Oficial,1,Concepción,Concepción,ESCUELA BÁSICA N° 186 PROFESOR JORGE SEBASTIÁN MIRANDA,39,45,44,45,44,47,"23º24'24.085""S","57º26'47.08""W"
Oficial,5,Caaguazú,Coronel Oviedo,ESCUELA BÁSICA N° 1973 COSTA ALEGRE,52,39,45,41,40,47,"25º26'35.224""S","56º27'0.221""W"
Oficial,11,Central,Guarambaré,ESCUELA BÁSICA N° 261 DEFENSORES DEL CHACO,44,44,46,44,38,47,"25º29'26.679""S","57º27'27.521""W"
Oficial,10,Alto Paraná,Hernandarias,ESCUELA BÁSICA N° 3172 SAN MIGUEL ARCANGEL,31,49,49,48,43,43,"25º26'10.871""S","54º39'8.894""W"
Oficial,11,Central,San Antonio,ESCUELA BÁSICA N° 3444 29 DE SETIEMBRE,39,44,38,46,54,42,"25º23'47.133""S","57º33'30.476""W"
Oficial,15,Presidente Hayes,Benjamín Aceval,ESCUELA BÁSICA N° 95 DOCTOR MANUEL PEÑA,35,43,46,38,49,51,"24º59'32.416""S","57º33'18.68""W"
Oficial,11,Central,Mariano Roque Alonso,ESCUELA BÁSICA N° 4744 PROFESORA OTILIA FERNÁNDEZ DE ACOSTA,37,47,50,42,50,36,"25º12'40.646""S","57º32'22.42""W"
Oficial,3,Cordillera,Loma Grande,ESCUELA BÁSICA N° 286 DON PEDRO ANTONIO CÁRDENAS,46,44,49,35,44,43,"25º10'38.303""S","57º13'55.151""W"
Oficial,3,Cordillera,Piribebuy,ESCUELA BÁSICA N° 371 CABO 1° LISANDRO CABRAL,43,40,40,48,48,42,"25º27'32.318""S","57º2'45.512""W"
Oficial,11,Central,Villa Elisa,ESCUELA BÁSICA N° 3654 EVER FAUSTINO BEAUFORT,45,43,46,45,43,39,"25º23'29.59""S","57º35'15.936""W"
Oficial,10,Alto Paraná,Minga Guazú,ESCUELA BÁSICA N° 5496 SANTA TERESITA,42,40,50,38,52,39,"25º28'44.795""S","54º44'32.162""W"
Oficial,15,Presidente Hayes,Villa Hayes,ESCUELA BÁSICA N° 125 PDTE. RUTHERFORD B. HAYES,40,51,46,46,39,38,"25º5'47.013""S","57º31'20.015""W"
Oficial,10,Alto Paraná,Ciudad del Este,ESCUELA BÁSICA N° 3743 SAN ANTONIO,50,41,41,43,48,37,"25º29'52.929""S","54º37'40.339""W"
